 Product ID, Product Name, Product Desc, Category, List Price
294246822,High bed frame with 2 storage boxes,Comfortable and spacious with built-in drawers,Bedroom,299.99
509111345,Tall headboard 55 by 63 inches,Sleek design providing much-needed backrest support,Bedroom,129.99
1894626563,Recliner sofa with pillow armrests,Adjustable seating for cozy living room comfort,Living Room,589.5
1141751565,Modern coffee table glass top,Sleek centerpiece enhancing contemporary interior design,Living Room,199.0
1806313054,Outdoor wooden lounge chair,Relaxed seating with weather-resistant teak construction,Outdoor Furniture,149.95
714142149,Dining table with extendable leaf,Spacious tabletop perfect for family gatherings,Dining,450.0
1555491256,Two-door bedside nightstand,Small storage solution for lamps or essentials,Bedroom,99.99
1143348200,Compact rolling office chair,Ergonomic support for long work sessions,Office,120.0
964070615,Bunk bed frame with ladder,Space-saving design great for shared rooms,Bedroom,389.0
312154052,Sectional corner sofa large size,Generous seating ideal for family rooms,Living Room,799.99
1772410983,Convertible futon sofa sleeper,Multi-purpose couch perfect for small apartments,Living Room,249.99
1534036446,Rocking chair with padded seat,Classic comfort for reading or relaxing,Living Room,129.5
1841958067,Four dining chairs set,Sturdy and elegant seating for gatherings,Dining,199.99
1894879113,Decorative ottoman bench storage,Hidden compartment providing extra organization,Accent Pieces,89.99
1589216577,Lounge chaise with plush upholstery,Luxurious seat for resting or reading,Living Room,299.0
1677208163,Storage TV stand wide shelves,Ample compartments to organize media essentials,Living Room,175.49
1328909245,Wooden nightstand with single drawer,Minimalist design fitting modern bedroom aesthetics,Bedroom,85.0
1988175641,Upholstered headboard tufted style,Cushioned support adding bedroom sophistication,Bedroom,159.95
2137841554,Classic wooden bar stool pair,Elevated seating suitable for kitchen counters,Dining,120.49
387753490,Bookshelf with adjustable shelves,Plenty of space displaying various reading collections,Living Room,140.0
664936708,Children's study desk compact,Ideal workspace fostering focus and productivity,Bedroom,110.0
287604037,Swivel office chair lumbar support,Ergonomic backrest relieving posture strain,Office,145.79
639894955,Vanity table with round mirror,Perfect station for makeup and grooming,Bedroom,189.99
634208301,Loveseat with overstuffed cushions,Compact two-seater ensuring cozy relaxation,Living Room,349.0
1381179533,Patio umbrella table lightweight,Sun-shielded surface for outdoor drinks,Outdoor Furniture,210.0
826742008,Small accent table round top,Perfect for corners or plant displays,Accent Pieces,59.99
1993953324,Minimalist metal bed frame queen,Streamlined structure enhancing modern aesthetics,Bedroom,230.0
2017648365,Decorative room divider folding panels,Lightweight partition providing subtle privacy,Living Room,175.0
36194335,Hallway console table narrow,Entryway surface for keys and decor,Accent Pieces,98.99
778862611,U-shaped sectional sofa modular,Rearrangeable design for versatile seating,Living Room,1099.0
1912064632,Loft bed with built-in desk,Great for maximizing limited bedroom space,Bedroom,420.0
1163371281,Classic wooden rocking loveseat,Two-person seat gently rocking experience,Living Room,370.5
1899314059,Padded armchair with storage pocket,Side compartment for remote or magazines,Living Room,220.0
2111222872,Glass dining table with metal frame,Modern look easy to clean surface,Dining,325.0
445296660,Outdoor bench with metal accents,Durable construction ideal for patios,Outdoor Furniture,180.0
1886367459,Storage ottoman with removable lid,Versatile piece for seating or organizing,Accent Pieces,75.0
1228615147,Mid-century modern bookshelf tall,Iconic design featuring tapered wooden legs,Living Room,210.25
507905740,Round breakfast nook table,Space-efficient dining solution for apartments,Dining,165.0
965823772,Double bed frame with slats,Simplistic layout requiring minimal assembly,Bedroom,199.99
774045160,Futon bunk bed metal frame,Functional design combining sofa and bed,Bedroom,315.0
1021893466,Upholstered dining chairs set of four,Comfortable seating with fabric-wrapped cushioning,Dining,280.0
177281658,Recliner chair with cup holder,Convenient design for ultimate lounge experience,Living Room,320.49
1764476118,Foldable accent table with wheels,Easily transportable for multipurpose use,Accent Pieces,45.0
480433046,Curved office desk black finish,Spacious workspace enhancing productivity,Office,249.95
1022743270,Ladder shelf with five tiers,Modern display rack for plants or decor,Living Room,99.5
1407053904,Queen-size platform bed low profile,Sturdy construction eliminating need for boxspring,Bedroom,220.99
694127367,Velvet chaise lounge with bolster,Stylish seating perfect for reading corners,Living Room,350.0
1507808434,Wooden shoe rack bench combo,Entryway solution for sitting and organizing,Accent Pieces,79.95
562359809,Glass-top console table slim,Contemporary accent for hallways or foyers,Accent Pieces,129.0
207242950,Twin bed frame with bookcase headboard,Integrated shelves keeping essentials within reach,Bedroom,279.99
625464627,High-back executive office chair,Padded seating for day-long comfort,Office,199.0
1595905503,Oval dining table six seats,Family-friendly design for daily meals,Dining,360.99
1281138545,Upholstered bench with tufted top,Adds extra seating to dining rooms,Dining,140.0
2098403168,Corner bookshelf with three tiers,Space-saving design fitting tight spots,Living Room,79.0
2066254789,Accent cabinet with glass doors,Charming storage to display collectibles,Accent Pieces,155.49
770679086,Outdoor lounge sofa rattan set,All-weather wicker with plush cushions,Outdoor Furniture,420.0
2100402592,Desktop hutch with storage compartments,Organized solution for paperwork or books,Office,88.99
1472003519,Convertible accent chair single sleeper,Transforms into bed for overnight guests,Living Room,220.0
797685999,Formal dining table with carving,Traditional style featuring ornate details,Dining,599.0
279974525,Bedroom bench with hidden storage,Upholstered seat helping keep clutter contained,Bedroom,105.0
1347719889,Glass display cabinet tall,Spotlight cherished items behind clear panels,Living Room,179.95
364030572,Standing coat rack metal branches,Handy place for jackets and hats,Accent Pieces,39.99
409055185,Comfortable lounge chair with ottoman,Matching footrest for soothing leg support,Living Room,299.5
1458184559,Outdoor bar table and stools,Entertaining solution for backyard parties,Outdoor Furniture,310.0
1857521685,Four-drawer chest with smooth handles,Ample room to organize folded clothes,Bedroom,189.99
963770084,Large L-shaped office desk,Maximizes workspace ideal for multitasking,Office,340.0
772336318,Glass display coffee table,Transparent top showcasing decorative items,Living Room,145.0
517458155,Wide dresser with mirror attached,Spacious storage plus easy grooming station,Bedroom,290.0
980766119,Upholstered accent chair striped pattern,Bright design adding pop of color,Living Room,130.99
232382756,Foldable patio dining set,Compact furniture for outdoor gatherings,Outdoor Furniture,250.0
230882781,Chair cushion cover cotton blend,Removable and washable for easy maintenance,Living Room,29.99
962431705,Metal table leg set adjustable,Durable support adaptable to various surfaces,Components,58.5
953470587,Foam seat pad extra comfort,Additional layer preventing chair fatigue,Components,15.99
1702212573,Replacement headboard mount bracket,Essential hardware for secure bed setup,Components,9.99
1620558601,Drawer handle kit brushed nickel,Modern pulls upgrading dresser appearance,Components,12.49
1520399800,Recliner lever replacement part,Simple mechanism restoring chair function,Components,10.5
356414600,Sofa slipcover stretch fabric,Protective layer extending couch lifespan,Components,39.99
469672826,Cushion filling bag polyester,Fluffy stuffing enhancing seat firmness,Components,25.0
514461818,Bed slat support beam,Stabilizing addition preventing mattress sag,Components,19.99
1250088053,Metal bed frame crossbar,Reinforced bar boosting structural integrity,Components,27.5
901624480,Cable organizer clamp set,Neat solution for taming wire clutter,Components,8.99
554956838,Replacement caster wheel heavy-duty,Rugged construction for smooth furniture movement,Components,13.49
1502579825,Extra table leaf extension board,Expands dining surface for additional guests,Components,55.0
1909940985,Upholstery fabric roll neutral color,Material for re-covering worn seats,Components,75.0
1398957094,Decorative table edge banding,Finishing detail improving furniture aesthetics,Components,18.95
408597187,Multi-tip screwdriver kit,Essential toolset for quick home assembly,Components,14.99
710149981,Assembly hardware pack universal,Screws and bolts for modular installations,Components,6.5
58349478,Adjustable sofa legs metal,Customizable height for leveling uneven floors,Components,28.0
549027897,Metal bracket hinge set,Support for folding tables or seats,Components,11.95
246852938,Tabletop replacement rectangular,Smooth surface refreshing worn-out frames,Components,60.0
615452616,Coffee table glass top round,Tempered replacement piece for safer finish,Components,49.99
1719322950,Loveseat side armrest insert,Swap-out component updating upholstery shape,Components,29.95
380035154,Chair seat base plywood board,Sturdy foundation for comfortable seating,Components,19.5
143896352,Footrest extension bar steel,Additional support enhancing leg relaxation,Components,24.99
1341108878,Plastic floor protector caps,Prevent scratches and marks on surfaces,Components,5.99
1228696372,Wooden table leg set tapered,Retro design fitting mid-century modern pieces,Components,35.0
571324225,Vinyl cushion cover set,Water-resistant skins perfect for outdoors,Components,25.99
1060800588,Recliner footrest release handle,Quick access lever for footrest operation,Components,9.5
1401608557,Sofa throw pillow cover kit,New look ensuring easy style updates,Components,18.0
2114476460,Drawer track replacement rails,Ensures smooth gliding for dresser drawers,Components,14.99
1782761655,Patio chair seat webbing,Weatherproof material restoring outdoor comfort,Components,12.0
2121024151,Upholstery foam replacement pad,Upgrade worn cushions improving seat firmness,Components,22.99
2041455540,Table corner protector guards,Cushioned edges preventing injury or damage,Components,6.99
498956891,Metal bed risers set,Increases under-bed storage and ventilation,Components,19.99
1785043431,Universal joint connector bolt,Versatile hardware for furniture assembly,Components,7.5
1005267733,Headboard extension panel kit,Height-increasing attachment for customized style,Components,32.49
2002934333,Sofa seat support spring set,Replacing saggy coils for firmer seating,Components,18.0
949526043,Decorative sofa leg cover trim,Clip-on accent upgrading base appearance,Components,11.99
1897107811,Replacement rocking chair runners,Precision-cut wood ensuring balanced motion,Components,42.0
876979408,Dining chair crossbeam brace,Reinforces structural integrity preventing wobble,Components,10.99
1877232098,Sliding door track hardware,Smooth mechanism for closet or cabinet doors,Components,26.99
1362545079,Upholstered headboard covering kit,Revives worn fabric preserving original shape,Components,50.0
1563253337,Sofa bed mechanism hinges,Enables easy transition between couch and bed,Components,44.95
1330068067,Flexible corner brace clamp,Multi-angle support for custom projects,Components,8.99
940749676,Custom cut glass tabletop,Perfect replacement for broken or scratched surfaces,Components,69.5
316105936,Drawer stopper plastic tabs,Prevents drawers from falling completely out,Components,4.49
779465155,Chair arm pad replacements,Refreshing comfort for worn-out armrests,Components,16.99
1388693051,Outdoor bench slat replacements,Weather-treated boards restoring seat planks,Components,35.99
1031078401,Bar stool footrest ring,Round attachment offering comfortable leg support,Components,12.0
1080225696,Replacement office chair gas lift,Restores seat height functionality quickly,Components,22.49
1535372130,Cabinet hinge soft-close kit,Reduces noise and prevents door slamming,Components,17.95
556015080,Table apron replacement frame,Structural piece supporting tabletop edges,Components,39.99
1575706803,Metal corner bracket heavy-duty,Rugged angle support for crucial joints,Components,14.95
943495806,Upholstery nailhead trim strip,Decorative accents for classic furniture style,Components,9.99
1160159979,Lift-top coffee table mechanism,Transforms tabletop into raised working surface,Components,29.5
827790727,Chaise lounge bracket set,Adjustable angle for backrest positioning,Components,35.0
1344416659,Resin wicker repair kit,Braided strips mending outdoor furniture damage,Components,15.0
9340309,Adjustable shelving clips pack,Securely holds shelves at variable heights,Components,7.99
692419031,Fabric adhesive patch roll,Quick fixes for minor upholstery tears,Components,5.5
51962364,Sofa seat frame replacement,Robust wooden structure restoring base strength,Components,49.99
87682054,Small drawer organizer insert,Partitioned layout optimizing interior space,Components,12.0
1345669918,Metal bed corner brackets,Reinforced corners for stable bed assembly,Components,10.0
214742778,Desk drawer slide tracks,Easy-glide metal rails for smooth opening,Components,9.99
569827012,Expandable curtain rod for cabinets,Provides adjustable interior partitioning,Components,8.49
688949336,Plastic leveling foot pads,Balances uneven floors for stable furniture,Components,6.95
361792872,Accent table top replacement wood,Fresh surface reviving scratched finishes,Components,34.99
922640075,Patio chair cushion ties,Ensures cushions remain securely in place,Components,4.99
614826590,Headboard decorative finial set,Enhances bed frameâ€™s stylish profile,Components,15.0
932183959,Drawer knob set ceramic,Charming vintage design adding subtle flair,Components,9.95
636192160,Office desk cable grommet,Neat hole cover for wire organization,Components,3.99
70128562,Glass shelf insert tempered,Sturdy replacement suitable for display cabinets,Components,20.0
502007491,Chair seat wedge cushion,Improves posture reducing lower back strain,Components,18.99
1245315471,Storage bench hinge lock,Keeps lid open for safe access,Components,14.5
719807222,Adhesive furniture bumper pads,Protects surfaces reducing noise or scratches,Components,5.99
1563953169,Chair caster socket insert,Secures replacement wheels for smooth rolling,Components,6.49
