_product_id,_product_name,_product_desc,_category,_list_price
1868736060,High bed frame with 2 storage boxes,Comfortable and spacious with built-in drawers,Bedroom,299.99
1493914810,Tall headboard 55 by 63 inches,Sleek design providing much-needed backrest support,Bedroom,129.99
1510047315,Recliner sofa with pillow armrests,Adjustable seating for cozy living room comfort,Living Room,589.5
2084759432,Modern coffee table glass top,Sleek centerpiece enhancing contemporary interior design,Living Room,199.0
827315510,Outdoor wooden lounge chair,Relaxed seating with weather-resistant teak construction,Outdoor Furniture,149.95
928004994,Dining table with extendable leaf,Spacious tabletop perfect for family gatherings,Dining,450.0
1782693052,Two-door bedside nightstand,Small storage solution for lamps or essentials,Bedroom,99.99
1075618569,Compact rolling office chair,Ergonomic support for long work sessions,Office,120.0
1401067003,Bunk bed frame with ladder,Space-saving design great for shared rooms,Bedroom,389.0
1034572284,Sectional corner sofa large size,Generous seating ideal for family rooms,Living Room,799.99
629876793,Convertible futon sofa sleeper,Multi-purpose couch perfect for small apartments,Living Room,249.99
189755443,Rocking chair with padded seat,Classic comfort for reading or relaxing,Living Room,129.5
1396184568,Four dining chairs set,Sturdy and elegant seating for gatherings,Dining,199.99
728006325,Decorative ottoman bench storage,Hidden compartment providing extra organization,Accent Pieces,89.99
1390150159,Lounge chaise with plush upholstery,Luxurious seat for resting or reading,Living Room,299.0
1640874269,Storage TV stand wide shelves,Ample compartments to organize media essentials,Living Room,175.49
1544140226,Wooden nightstand with single drawer,Minimalist design fitting modern bedroom aesthetics,Bedroom,85.0
82940820,Upholstered headboard tufted style,Cushioned support adding bedroom sophistication,Bedroom,159.95
863953796,Classic wooden bar stool pair,Elevated seating suitable for kitchen counters,Dining,120.49
122580610,Bookshelf with adjustable shelves,Plenty of space displaying various reading collections,Living Room,140.0
1653435868,Children's study desk compact,Ideal workspace fostering focus and productivity,Bedroom,110.0
1544077154,Swivel office chair lumbar support,Ergonomic backrest relieving posture strain,Office,145.79
2403744,Vanity table with round mirror,Perfect station for makeup and grooming,Bedroom,189.99
2024386746,Loveseat with overstuffed cushions,Compact two-seater ensuring cozy relaxation,Living Room,349.0
1012387635,Patio umbrella table lightweight,Sun-shielded surface for outdoor drinks,Outdoor Furniture,210.0
647987397,Small accent table round top,Perfect for corners or plant displays,Accent Pieces,59.99
184816099,Minimalist metal bed frame queen,Streamlined structure enhancing modern aesthetics,Bedroom,230.0
1011602003,Decorative room divider folding panels,Lightweight partition providing subtle privacy,Living Room,175.0
443578329,Hallway console table narrow,Entryway surface for keys and decor,Accent Pieces,98.99
1859780028,U-shaped sectional sofa modular,Rearrangeable design for versatile seating,Living Room,1099.0
1755307186,Loft bed with built-in desk,Great for maximizing limited bedroom space,Bedroom,420.0
118268206,Classic wooden rocking loveseat,Two-person seat gently rocking experience,Living Room,370.5
433738834,Padded armchair with storage pocket,Side compartment for remote or magazines,Living Room,220.0
1903395576,Glass dining table with metal frame,Modern look easy to clean surface,Dining,325.0
649271892,Outdoor bench with metal accents,Durable construction ideal for patios,Outdoor Furniture,180.0
24194097,Storage ottoman with removable lid,Versatile piece for seating or organizing,Accent Pieces,75.0
235866537,Mid-century modern bookshelf tall,Iconic design featuring tapered wooden legs,Living Room,210.25
314724158,Round breakfast nook table,Space-efficient dining solution for apartments,Dining,165.0
1864803075,Double bed frame with slats,Simplistic layout requiring minimal assembly,Bedroom,199.99
971721709,Futon bunk bed metal frame,Functional design combining sofa and bed,Bedroom,315.0
1351291359,Upholstered dining chairs set of four,Comfortable seating with fabric-wrapped cushioning,Dining,280.0
1169371025,Recliner chair with cup holder,Convenient design for ultimate lounge experience,Living Room,320.49
714950397,Foldable accent table with wheels,Easily transportable for multipurpose use,Accent Pieces,45.0
1418278233,Curved office desk black finish,Spacious workspace enhancing productivity,Office,249.95
721157294,Ladder shelf with five tiers,Modern display rack for plants or decor,Living Room,99.5
1893282248,Queen-size platform bed low profile,Sturdy construction eliminating need for boxspring,Bedroom,220.99
1469678257,Velvet chaise lounge with bolster,Stylish seating perfect for reading corners,Living Room,350.0
237587462,Wooden shoe rack bench combo,Entryway solution for sitting and organizing,Accent Pieces,79.95
158636969,Glass-top console table slim,Contemporary accent for hallways or foyers,Accent Pieces,129.0
538968174,Twin bed frame with bookcase headboard,Integrated shelves keeping essentials within reach,Bedroom,279.99
1360599361,High-back executive office chair,Padded seating for day-long comfort,Office,199.0
815732153,Oval dining table six seats,Family-friendly design for daily meals,Dining,360.99
1149012990,Upholstered bench with tufted top,Adds extra seating to dining rooms,Dining,140.0
117227393,Corner bookshelf with three tiers,Space-saving design fitting tight spots,Living Room,79.0
503895462,Accent cabinet with glass doors,Charming storage to display collectibles,Accent Pieces,155.49
1334454472,Outdoor lounge sofa rattan set,All-weather wicker with plush cushions,Outdoor Furniture,420.0
644159178,Desktop hutch with storage compartments,Organized solution for paperwork or books,Office,88.99
726013018,Convertible accent chair single sleeper,Transforms into bed for overnight guests,Living Room,220.0
1414698123,Formal dining table with carving,Traditional style featuring ornate details,Dining,599.0
996737480,Bedroom bench with hidden storage,Upholstered seat helping keep clutter contained,Bedroom,105.0
1357746544,Glass display cabinet tall,Spotlight cherished items behind clear panels,Living Room,179.95
968148888,Standing coat rack metal branches,Handy place for jackets and hats,Accent Pieces,39.99
1690967869,Comfortable lounge chair with ottoman,Matching footrest for soothing leg support,Living Room,299.5
861257875,Outdoor bar table and stools,Entertaining solution for backyard parties,Outdoor Furniture,310.0
980311800,Four-drawer chest with smooth handles,Ample room to organize folded clothes,Bedroom,189.99
1734633040,Large L-shaped office desk,Maximizes workspace ideal for multitasking,Office,340.0
1407431997,Glass display coffee table,Transparent top showcasing decorative items,Living Room,145.0
948402279,Wide dresser with mirror attached,Spacious storage plus easy grooming station,Bedroom,290.0
1391857307,Upholstered accent chair striped pattern,Bright design adding pop of color,Living Room,130.99
2135172852,Foldable patio dining set,Compact furniture for outdoor gatherings,Outdoor Furniture,250.0
138468003,Chair cushion cover cotton blend,Removable and washable for easy maintenance,Living Room,29.99
1715231337,Metal table leg set adjustable,Durable support adaptable to various surfaces,Components,58.5
1216925316,Foam seat pad extra comfort,Additional layer preventing chair fatigue,Components,15.99
1568952657,Replacement headboard mount bracket,Essential hardware for secure bed setup,Components,9.99
1938871808,Drawer handle kit brushed nickel,Modern pulls upgrading dresser appearance,Components,12.49
1003989071,Recliner lever replacement part,Simple mechanism restoring chair function,Components,10.5
417850721,Sofa slipcover stretch fabric,Protective layer extending couch lifespan,Components,39.99
375548612,Cushion filling bag polyester,Fluffy stuffing enhancing seat firmness,Components,25.0
462641831,Bed slat support beam,Stabilizing addition preventing mattress sag,Components,19.99
423908395,Metal bed frame crossbar,Reinforced bar boosting structural integrity,Components,27.5
528852351,Cable organizer clamp set,Neat solution for taming wire clutter,Components,8.99
200847630,Replacement caster wheel heavy-duty,Rugged construction for smooth furniture movement,Components,13.49
1962022059,Extra table leaf extension board,Expands dining surface for additional guests,Components,55.0
1322626899,Upholstery fabric roll neutral color,Material for re-covering worn seats,Components,75.0
896881359,Decorative table edge banding,Finishing detail improving furniture aesthetics,Components,18.95
1721734089,Multi-tip screwdriver kit,Essential toolset for quick home assembly,Components,14.99
1188366241,Assembly hardware pack universal,Screws and bolts for modular installations,Components,6.5
807718498,Adjustable sofa legs metal,Customizable height for leveling uneven floors,Components,28.0
841230372,Metal bracket hinge set,Support for folding tables or seats,Components,11.95
1342531510,Tabletop replacement rectangular,Smooth surface refreshing worn-out frames,Components,60.0
430359821,Coffee table glass top round,Tempered replacement piece for safer finish,Components,49.99
1891357654,Loveseat side armrest insert,Swap-out component updating upholstery shape,Components,29.95
550287322,Chair seat base plywood board,Sturdy foundation for comfortable seating,Components,19.5
1873175350,Footrest extension bar steel,Additional support enhancing leg relaxation,Components,24.99
1901933762,Plastic floor protector caps,Prevent scratches and marks on surfaces,Components,5.99
1795381318,Wooden table leg set tapered,Retro design fitting mid-century modern pieces,Components,35.0
406772211,Vinyl cushion cover set,Water-resistant skins perfect for outdoors,Components,25.99
2137778553,Recliner footrest release handle,Quick access lever for footrest operation,Components,9.5
366895633,Sofa throw pillow cover kit,New look ensuring easy style updates,Components,18.0
627529691,Drawer track replacement rails,Ensures smooth gliding for dresser drawers,Components,14.99
897958678,Patio chair seat webbing,Weatherproof material restoring outdoor comfort,Components,12.0
239139843,Upholstery foam replacement pad,Upgrade worn cushions improving seat firmness,Components,22.99
902213998,Table corner protector guards,Cushioned edges preventing injury or damage,Components,6.99
127821775,Metal bed risers set,Increases under-bed storage and ventilation,Components,19.99
1702541668,Universal joint connector bolt,Versatile hardware for furniture assembly,Components,7.5
2076399305,Headboard extension panel kit,Height-increasing attachment for customized style,Components,32.49
711379957,Sofa seat support spring set,Replacing saggy coils for firmer seating,Components,18.0
396219923,Decorative sofa leg cover trim,Clip-on accent upgrading base appearance,Components,11.99
1066275277,Replacement rocking chair runners,Precision-cut wood ensuring balanced motion,Components,42.0
1237602606,Dining chair crossbeam brace,Reinforces structural integrity preventing wobble,Components,10.99
285861879,Sliding door track hardware,Smooth mechanism for closet or cabinet doors,Components,26.99
594251774,Upholstered headboard covering kit,Revives worn fabric preserving original shape,Components,50.0
564381391,Sofa bed mechanism hinges,Enables easy transition between couch and bed,Components,44.95
1929502487,Flexible corner brace clamp,Multi-angle support for custom projects,Components,8.99
638161230,Custom cut glass tabletop,Perfect replacement for broken or scratched surfaces,Components,69.5
2077651580,Drawer stopper plastic tabs,Prevents drawers from falling completely out,Components,4.49
140724147,Chair arm pad replacements,Refreshing comfort for worn-out armrests,Components,16.99
1049870185,Outdoor bench slat replacements,Weather-treated boards restoring seat planks,Components,35.99
3986123,Bar stool footrest ring,Round attachment offering comfortable leg support,Components,12.0
2062370038,Replacement office chair gas lift,Restores seat height functionality quickly,Components,22.49
1278912968,Cabinet hinge soft-close kit,Reduces noise and prevents door slamming,Components,17.95
950599525,Table apron replacement frame,Structural piece supporting tabletop edges,Components,39.99
1539704034,Metal corner bracket heavy-duty,Rugged angle support for crucial joints,Components,14.95
1995628648,Upholstery nailhead trim strip,Decorative accents for classic furniture style,Components,9.99
711269860,Lift-top coffee table mechanism,Transforms tabletop into raised working surface,Components,29.5
1810742915,Chaise lounge bracket set,Adjustable angle for backrest positioning,Components,35.0
1015264136,Resin wicker repair kit,Braided strips mending outdoor furniture damage,Components,15.0
701078848,Adjustable shelving clips pack,Securely holds shelves at variable heights,Components,7.99
2087088206,Fabric adhesive patch roll,Quick fixes for minor upholstery tears,Components,5.5
2007181514,Sofa seat frame replacement,Robust wooden structure restoring base strength,Components,49.99
1417866289,Small drawer organizer insert,Partitioned layout optimizing interior space,Components,12.0
1915672727,Metal bed corner brackets,Reinforced corners for stable bed assembly,Components,10.0
1305366041,Desk drawer slide tracks,Easy-glide metal rails for smooth opening,Components,9.99
1462793328,Expandable curtain rod for cabinets,Provides adjustable interior partitioning,Components,8.49
963510719,Plastic leveling foot pads,Balances uneven floors for stable furniture,Components,6.95
46414656,Accent table top replacement wood,Fresh surface reviving scratched finishes,Components,34.99
1122118115,Patio chair cushion ties,Ensures cushions remain securely in place,Components,4.99
1443232520,Headboard decorative finial set,Enhances bed frameâ€™s stylish profile,Components,15.0
794008659,Drawer knob set ceramic,Charming vintage design adding subtle flair,Components,9.95
1151584239,Office desk cable grommet,Neat hole cover for wire organization,Components,3.99
1887614373,Glass shelf insert tempered,Sturdy replacement suitable for display cabinets,Components,20.0
1489002135,Chair seat wedge cushion,Improves posture reducing lower back strain,Components,18.99
1971491875,Storage bench hinge lock,Keeps lid open for safe access,Components,14.5
1778676687,Adhesive furniture bumper pads,Protects surfaces reducing noise or scratches,Components,5.99
2106990854,Chair caster socket insert,Secures replacement wheels for smooth rolling,Components,6.49
