 ID, Division ID, Location ID, Type, Severity, Status, Reported By, Date Time, Resolution Time, Description, Cost
1474511007,560843408,1408913944,Delay,Moderate,Resolved,1997519883,2024-12-09 00:47:34.698285 UTC,2024-12-31 15:49:01.698293 UTC,Incident: Delay - Moderate,6249.164901359169
665358724,560843408,1144840752,Safety,Minor,Resolved,1608037409,2025-01-04 02:54:41.698822 UTC,2025-01-07 11:35:42.698831 UTC,Incident: Safety - Minor,730.0861169194195
483627271,560843408,1144840752,Mechanical,Moderate,Resolved,1608037409,2024-12-05 13:38:03.699035 UTC,2025-01-20 12:49:06.699043 UTC,Incident: Mechanical - Moderate,7536.447884740807
1582812989,560843408,1408913944,Delay,Minor,Investigating,1398229709,2025-01-11 05:31:27.699258 UTC,,Incident: Delay - Minor,141.68039902385064
1116592209,560843408,1137426217,Mechanical,Moderate,Reported,742365891,2024-11-09 05:01:40.699447 UTC,,Incident: Mechanical - Moderate,9879.147463876934
260345199,560843408,1408913944,Safety,Moderate,Investigating,1157138452,2024-12-10 03:00:55.69967 UTC,,Incident: Safety - Moderate,7864.413404222913
35108204,795226445,1886397906,Delay,Critical,Reported,519770588,2025-01-01 09:36:43.725534 UTC,,Incident: Delay - Critical,130611.74430062405
1581631069,795226445,2029903910,Mechanical,Moderate,Investigating,1608037409,2024-11-03 08:51:01.725711 UTC,,Incident: Mechanical - Moderate,8949.995298453916
1729794042,795226445,1886397906,Mechanical,Minor,Resolved,1180861141,2024-12-21 05:11:28.725866 UTC,2024-12-30 17:28:49.725874 UTC,Incident: Mechanical - Minor,132.7934794380198
448427393,795226445,1408913944,Delay,Minor,Reported,643793315,2024-11-23 19:25:47.726024 UTC,,Incident: Delay - Minor,469.84308906210555
647185468,795226445,2029903910,Track,Minor,Reported,81801061,2024-11-12 08:34:39.726171 UTC,,Incident: Track - Minor,625.0846210210755
1633023837,795226445,1886397906,Delay,Minor,Investigating,1439420165,2024-12-16 06:51:56.726323 UTC,,Incident: Delay - Minor,418.3563168361944
2038853582,795226445,1408913944,Mechanical,Major,Reported,1439420165,2025-01-20 22:24:37.726481 UTC,,Incident: Mechanical - Major,19614.81524523604
1588262904,795226445,2029903910,Delay,Major,Investigating,2138075717,2024-11-15 11:46:10.726648 UTC,,Incident: Delay - Major,19203.224512233093
1172832548,795226445,1144840752,Track,Major,Investigating,1157138452,2024-12-10 19:26:02.726802 UTC,,Incident: Track - Major,22422.81813497313
539638697,1657038269,1137426217,Delay,Critical,Investigating,1180861141,2024-10-31 09:12:31.748752 UTC,,Incident: Delay - Critical,71796.77826003081
759037379,1657038269,2029903910,Track,Major,Investigating,81801061,2024-11-11 14:14:43.748907 UTC,,Incident: Track - Major,40574.254545112475
1213923697,1657038269,1144840752,Delay,Moderate,Investigating,951775129,2024-11-22 10:54:16.749046 UTC,,Incident: Delay - Moderate,1062.9246952276992
819602564,1657038269,1886397906,Mechanical,Moderate,Reported,742365891,2025-01-09 05:42:42.749189 UTC,,Incident: Mechanical - Moderate,1118.7833075205283
1122579870,1657038269,1137426217,Delay,Major,Reported,643793315,2024-11-26 18:49:54.749328 UTC,,Incident: Delay - Major,16267.649789536867
2095789874,1657038269,1144840752,Delay,Moderate,Investigating,951775129,2024-11-15 06:44:50.749463 UTC,,Incident: Delay - Moderate,5025.210998071094
1756814531,1657038269,1886397906,Delay,Minor,Investigating,1398229709,2025-01-05 05:02:18.749607 UTC,,Incident: Delay - Minor,361.8932146545028
1598026936,1657038269,1408913944,Delay,Minor,Resolved,374742912,2025-01-21 11:28:13.749749 UTC,2025-01-04 20:08:28.749755 UTC,Incident: Delay - Minor,338.9047013447953
427587645,36317215,1144840752,Mechanical,Major,Investigating,1050508733,2024-11-16 18:57:50.769829 UTC,,Incident: Mechanical - Major,38547.63276831515
1111227666,36317215,2029903910,Delay,Minor,Resolved,1837155942,2025-01-14 08:11:09.76999 UTC,2025-01-02 07:08:10.769997 UTC,Incident: Delay - Minor,580.6886871999857
785806574,36317215,2029903910,Safety,Major,Investigating,895334175,2024-12-14 06:03:59.770137 UTC,,Incident: Safety - Major,34984.72127472017
1887317825,36317215,1408913944,Track,Minor,Reported,643793315,2024-12-21 20:29:52.770282 UTC,,Incident: Track - Minor,917.7689702722129
1153641626,36317215,1886397906,Track,Moderate,Reported,1224300936,2024-11-24 00:19:38.770436 UTC,,Incident: Track - Moderate,7181.476855835192
741496944,36317215,1408913944,Mechanical,Critical,Investigating,1608037409,2024-12-10 07:11:35.770585 UTC,,Incident: Mechanical - Critical,187685.5084433957
1409641219,36317215,1408913944,Track,Minor,Reported,81801061,2024-11-09 17:07:27.770737 UTC,,Incident: Track - Minor,316.7033058706809
1950999735,36317215,1137426217,Delay,Minor,Resolved,374742912,2025-01-03 01:02:50.770879 UTC,2024-12-30 12:24:26.770886 UTC,Incident: Delay - Minor,504.9477584468381
1961693958,36317215,1144840752,Mechanical,Critical,Investigating,519770588,2025-01-11 01:41:15.771024 UTC,,Incident: Mechanical - Critical,128780.67325198997
1656496513,1944267253,1886397906,Delay,Minor,Investigating,1608037409,2024-11-02 12:09:22.79013 UTC,,Incident: Delay - Minor,457.3131347877158
1218439215,1944267253,1144840752,Delay,Minor,Resolved,1997519883,2024-11-21 16:09:39.790282 UTC,2024-12-31 01:26:55.790289 UTC,Incident: Delay - Minor,327.29846585633425
1183017947,1944267253,2029903910,Track,Moderate,Resolved,1180861141,2025-01-06 04:10:35.790425 UTC,2025-01-20 12:19:06.790431 UTC,Incident: Track - Moderate,3464.337892954613
1539559108,1944267253,1137426217,Delay,Minor,Reported,374742912,2024-12-14 05:24:21.790576 UTC,,Incident: Delay - Minor,838.5425457452797
249082041,1944267253,1886397906,Track,Minor,Resolved,122346013,2024-12-09 02:14:12.790717 UTC,2024-12-29 21:37:36.790724 UTC,Incident: Track - Minor,303.62358900733665
1301954426,1944267253,1886397906,Mechanical,Critical,Resolved,951775129,2025-01-08 21:09:56.790859 UTC,2025-01-18 16:26:18.790866 UTC,Incident: Mechanical - Critical,136743.74599794016
567182020,1944267253,1408913944,Delay,Minor,Reported,519770588,2024-11-26 18:18:09.791014 UTC,,Incident: Delay - Minor,617.3705741192938
155479412,1944267253,1886397906,Track,Minor,Resolved,126591564,2024-11-02 16:40:03.79115 UTC,2025-01-14 05:21:00.791157 UTC,Incident: Track - Minor,356.1269242943819
173387043,1944267253,2029903910,Mechanical,Minor,Investigating,643793315,2024-12-04 22:39:17.791299 UTC,,Incident: Mechanical - Minor,172.78426549854277
