 ID, Mine ID, Inspector ID, Compliance Date, Type, Violation Count, Severity, Resolution Deadline, Notes, Status
492119862,919632549,966958699,2024-01-03 00:00:00 UTC,ROUTINE,1,LOW,2024-02-02 00:00:00 UTC,Routine safety inspection,OPEN
328271651,1168237128,990656208,2024-01-06 00:00:00 UTC,ROUTINE,0,NONE,2024-02-05 00:00:00 UTC,Routine safety inspection,OPEN
383657462,919632549,1393170979,2024-01-07 00:00:00 UTC,ROUTINE,0,NONE,2024-02-06 00:00:00 UTC,Routine safety inspection,OPEN
891657909,1168237128,779233749,2024-01-08 00:00:00 UTC,ROUTINE,1,LOW,2024-02-07 00:00:00 UTC,Routine safety inspection,OPEN
2026484978,919632549,209475583,2024-01-11 00:00:00 UTC,ROUTINE,1,LOW,2024-02-10 00:00:00 UTC,Routine safety inspection,OPEN
256867348,919632549,1393170979,2024-01-13 00:00:00 UTC,ROUTINE,1,LOW,2024-02-12 00:00:00 UTC,Routine safety inspection,OPEN
1781735377,919632549,966958699,2024-02-01 00:00:00 UTC,ROUTINE,1,LOW,2024-03-02 00:00:00 UTC,Routine safety inspection,OPEN
206045512,1168237128,779233749,2024-02-07 00:00:00 UTC,ROUTINE,0,NONE,2024-03-08 00:00:00 UTC,Routine safety inspection,OPEN
1300953086,1168237128,1189597451,2024-02-12 00:00:00 UTC,ROUTINE,0,NONE,2024-03-13 00:00:00 UTC,Routine safety inspection,OPEN
266965457,919632549,209475583,2024-02-13 00:00:00 UTC,ROUTINE,1,LOW,2024-03-14 00:00:00 UTC,Routine safety inspection,OPEN
396325359,919632549,1393170979,2024-02-15 00:00:00 UTC,ROUTINE,1,LOW,2024-03-16 00:00:00 UTC,Routine safety inspection,OPEN
1209900380,1168237128,779233749,2024-02-16 00:00:00 UTC,ROUTINE,1,LOW,2024-03-17 00:00:00 UTC,Routine safety inspection,OPEN
142557721,392195143,1094986064,2024-02-17 00:00:00 UTC,ROUTINE,0,NONE,2024-03-18 00:00:00 UTC,Routine safety inspection,OPEN
273702694,1168237128,990656208,2024-02-19 00:00:00 UTC,ROUTINE,1,LOW,2024-03-20 00:00:00 UTC,Routine safety inspection,OPEN
580837778,392195143,1727635875,2024-02-20 00:00:00 UTC,ROUTINE,1,LOW,2024-03-21 00:00:00 UTC,Routine safety inspection,OPEN
2014542820,919632549,209475583,2024-03-10 00:00:00 UTC,ROUTINE,1,LOW,2024-04-09 00:00:00 UTC,Routine safety inspection,OPEN
1561439253,1168237128,792475962,2024-03-13 00:00:00 UTC,ROUTINE,0,NONE,2024-04-12 00:00:00 UTC,Routine safety inspection,OPEN
446859013,919632549,1393170979,2024-03-13 00:00:00 UTC,ROUTINE,0,NONE,2024-04-12 00:00:00 UTC,Routine safety inspection,OPEN
406519774,1168237128,779233749,2024-03-16 00:00:00 UTC,ROUTINE,0,NONE,2024-04-15 00:00:00 UTC,Routine safety inspection,OPEN
403230491,1168237128,792475962,2024-03-19 00:00:00 UTC,ROUTINE,1,LOW,2024-04-18 00:00:00 UTC,Routine safety inspection,OPEN
1677507464,919632549,1393170979,2024-03-23 00:00:00 UTC,ROUTINE,0,NONE,2024-04-22 00:00:00 UTC,Routine safety inspection,OPEN
957897216,919632549,1543598189,2024-03-27 00:00:00 UTC,ROUTINE,1,LOW,2024-04-26 00:00:00 UTC,Routine safety inspection,OPEN
1061842925,1168237128,990656208,2024-04-02 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-02 00:00:00 UTC,Routine safety inspection,OPEN
1656055481,919632549,966958699,2024-04-02 00:00:00 UTC,ROUTINE,0,NONE,2024-05-02 00:00:00 UTC,Routine safety inspection,OPEN
950774009,392195143,1094986064,2024-04-04 00:00:00 UTC,ROUTINE,1,LOW,2024-05-04 00:00:00 UTC,Routine safety inspection,OPEN
289503016,1168237128,792475962,2024-04-04 00:00:00 UTC,ROUTINE,0,NONE,2024-05-04 00:00:00 UTC,Routine safety inspection,OPEN
1577978266,392195143,1094986064,2024-04-05 00:00:00 UTC,ROUTINE,0,NONE,2024-05-05 00:00:00 UTC,Routine safety inspection,OPEN
2027421078,919632549,209475583,2024-04-06 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-05-06 00:00:00 UTC,Routine safety inspection,OPEN
545886307,919632549,209475583,2024-04-07 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-07 00:00:00 UTC,Routine safety inspection,OPEN
147657649,392195143,1785728209,2024-04-08 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-05-08 00:00:00 UTC,Routine safety inspection,OPEN
1438090675,392195143,899937147,2024-04-09 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-09 00:00:00 UTC,Routine safety inspection,OPEN
1796287093,919632549,209475583,2024-04-10 00:00:00 UTC,ROUTINE,1,LOW,2024-05-10 00:00:00 UTC,Routine safety inspection,OPEN
2122629038,392195143,1094986064,2024-04-11 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-11 00:00:00 UTC,Routine safety inspection,OPEN
1006454923,392195143,1785728209,2024-04-14 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-05-14 00:00:00 UTC,Routine safety inspection,OPEN
1555062766,392195143,1727635875,2024-04-15 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-15 00:00:00 UTC,Routine safety inspection,OPEN
901972752,1168237128,1189597451,2024-04-16 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-16 00:00:00 UTC,Routine safety inspection,OPEN
1895682476,1168237128,779233749,2024-04-18 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-18 00:00:00 UTC,Routine safety inspection,OPEN
183816325,1168237128,990656208,2024-04-20 00:00:00 UTC,ROUTINE,1,LOW,2024-05-20 00:00:00 UTC,Routine safety inspection,OPEN
113215031,919632549,1393170979,2024-04-21 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-21 00:00:00 UTC,Routine safety inspection,OPEN
1564105656,1168237128,1189597451,2024-04-22 00:00:00 UTC,ROUTINE,1,LOW,2024-05-22 00:00:00 UTC,Routine safety inspection,OPEN
1567504306,919632549,209475583,2024-04-24 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-05-24 00:00:00 UTC,Routine safety inspection,OPEN
19521581,392195143,1094986064,2024-04-25 00:00:00 UTC,ROUTINE,0,NONE,2024-05-25 00:00:00 UTC,Routine safety inspection,OPEN
107016580,1168237128,779233749,2024-04-27 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-27 00:00:00 UTC,Routine safety inspection,OPEN
755277122,919632549,1393170979,2024-04-28 00:00:00 UTC,ROUTINE,3,HIGH,2024-05-28 00:00:00 UTC,Routine safety inspection,OPEN
1540331607,1168237128,779233749,2024-05-02 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-01 00:00:00 UTC,Routine safety inspection,OPEN
307663106,392195143,1727635875,2024-05-03 00:00:00 UTC,ROUTINE,0,NONE,2024-06-02 00:00:00 UTC,Routine safety inspection,OPEN
139775848,392195143,1094986064,2024-05-04 00:00:00 UTC,ROUTINE,0,NONE,2024-06-03 00:00:00 UTC,Routine safety inspection,OPEN
322621058,1168237128,1189597451,2024-05-05 00:00:00 UTC,ROUTINE,0,NONE,2024-06-04 00:00:00 UTC,Routine safety inspection,OPEN
1797826133,392195143,1094986064,2024-05-07 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-06 00:00:00 UTC,Routine safety inspection,OPEN
2015222283,1168237128,779233749,2024-05-07 00:00:00 UTC,ROUTINE,0,NONE,2024-06-06 00:00:00 UTC,Routine safety inspection,OPEN
1339037094,392195143,1094986064,2024-05-11 00:00:00 UTC,ROUTINE,1,LOW,2024-06-10 00:00:00 UTC,Routine safety inspection,OPEN
1150524733,392195143,899937147,2024-05-12 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-11 00:00:00 UTC,Routine safety inspection,OPEN
397634852,919632549,1543598189,2024-05-15 00:00:00 UTC,ROUTINE,0,NONE,2024-06-14 00:00:00 UTC,Routine safety inspection,OPEN
1272680874,1168237128,792475962,2024-05-17 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-16 00:00:00 UTC,Routine safety inspection,OPEN
214181179,919632549,209475583,2024-05-19 00:00:00 UTC,ROUTINE,3,HIGH,2024-06-18 00:00:00 UTC,Routine safety inspection,OPEN
611379431,1168237128,779233749,2024-05-20 00:00:00 UTC,ROUTINE,0,NONE,2024-06-19 00:00:00 UTC,Routine safety inspection,OPEN
558323150,392195143,899937147,2024-05-21 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-20 00:00:00 UTC,Routine safety inspection,OPEN
1965626090,392195143,1785728209,2024-05-22 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-21 00:00:00 UTC,Routine safety inspection,OPEN
1507547800,1168237128,779233749,2024-05-26 00:00:00 UTC,ROUTINE,0,NONE,2024-06-25 00:00:00 UTC,Routine safety inspection,OPEN
1846975050,919632549,1543598189,2024-05-28 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-27 00:00:00 UTC,Routine safety inspection,OPEN
971372642,392195143,899937147,2024-05-29 00:00:00 UTC,ROUTINE,1,LOW,2024-06-28 00:00:00 UTC,Routine safety inspection,OPEN
94686463,919632549,209475583,2024-05-30 00:00:00 UTC,ROUTINE,1,LOW,2024-06-29 00:00:00 UTC,Routine safety inspection,OPEN
2094615648,392195143,1094986064,2024-05-31 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-06-30 00:00:00 UTC,Routine safety inspection,OPEN
409252264,392195143,1785728209,2024-06-03 00:00:00 UTC,ROUTINE,1,LOW,2024-07-03 00:00:00 UTC,Routine safety inspection,OPEN
1099733004,919632549,966958699,2024-06-05 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-05 00:00:00 UTC,Routine safety inspection,OPEN
1350287552,1168237128,792475962,2024-06-06 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-06 00:00:00 UTC,Routine safety inspection,OPEN
963705513,1168237128,1189597451,2024-06-08 00:00:00 UTC,ROUTINE,1,LOW,2024-07-08 00:00:00 UTC,Routine safety inspection,OPEN
1743474210,919632549,209475583,2024-06-08 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-08 00:00:00 UTC,Routine safety inspection,OPEN
200268245,392195143,1785728209,2024-06-10 00:00:00 UTC,ROUTINE,1,LOW,2024-07-10 00:00:00 UTC,Routine safety inspection,OPEN
1420003146,1168237128,792475962,2024-06-12 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-12 00:00:00 UTC,Routine safety inspection,OPEN
1687518518,919632549,209475583,2024-06-12 00:00:00 UTC,ROUTINE,1,LOW,2024-07-12 00:00:00 UTC,Routine safety inspection,OPEN
1267787686,392195143,1094986064,2024-06-16 00:00:00 UTC,ROUTINE,1,LOW,2024-07-16 00:00:00 UTC,Routine safety inspection,OPEN
1383948030,1168237128,1189597451,2024-06-16 00:00:00 UTC,ROUTINE,1,LOW,2024-07-16 00:00:00 UTC,Routine safety inspection,OPEN
554268835,392195143,1727635875,2024-06-19 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-19 00:00:00 UTC,Routine safety inspection,OPEN
474657349,919632549,209475583,2024-06-20 00:00:00 UTC,ROUTINE,0,NONE,2024-07-20 00:00:00 UTC,Routine safety inspection,OPEN
979895211,392195143,899937147,2024-06-21 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-21 00:00:00 UTC,Routine safety inspection,OPEN
935940154,1168237128,1189597451,2024-06-22 00:00:00 UTC,ROUTINE,0,NONE,2024-07-22 00:00:00 UTC,Routine safety inspection,OPEN
822606251,392195143,1727635875,2024-06-23 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-23 00:00:00 UTC,Routine safety inspection,OPEN
1679605353,392195143,1727635875,2024-06-25 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-25 00:00:00 UTC,Routine safety inspection,OPEN
190247858,1168237128,990656208,2024-06-25 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-25 00:00:00 UTC,Routine safety inspection,OPEN
455360141,1168237128,792475962,2024-06-26 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-07-26 00:00:00 UTC,Routine safety inspection,OPEN
115494444,392195143,1727635875,2024-06-28 00:00:00 UTC,ROUTINE,0,NONE,2024-07-28 00:00:00 UTC,Routine safety inspection,OPEN
1917507492,392195143,1094986064,2024-06-29 00:00:00 UTC,ROUTINE,3,HIGH,2024-07-29 00:00:00 UTC,Routine safety inspection,OPEN
2034168521,1168237128,1189597451,2024-06-30 00:00:00 UTC,ROUTINE,0,NONE,2024-07-30 00:00:00 UTC,Routine safety inspection,OPEN
2134539455,919632549,209475583,2024-07-01 00:00:00 UTC,ROUTINE,1,LOW,2024-07-31 00:00:00 UTC,Routine safety inspection,OPEN
1984743144,1168237128,990656208,2024-07-02 00:00:00 UTC,ROUTINE,0,NONE,2024-08-01 00:00:00 UTC,Routine safety inspection,OPEN
1632544220,1168237128,779233749,2024-07-05 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-04 00:00:00 UTC,Routine safety inspection,OPEN
2110708450,919632549,1543598189,2024-07-06 00:00:00 UTC,ROUTINE,3,HIGH,2024-08-05 00:00:00 UTC,Routine safety inspection,OPEN
452860030,919632549,1543598189,2024-07-08 00:00:00 UTC,ROUTINE,0,NONE,2024-08-07 00:00:00 UTC,Routine safety inspection,OPEN
993270524,392195143,1727635875,2024-07-10 00:00:00 UTC,ROUTINE,0,NONE,2024-08-09 00:00:00 UTC,Routine safety inspection,OPEN
1031855424,1168237128,990656208,2024-07-10 00:00:00 UTC,ROUTINE,1,LOW,2024-08-09 00:00:00 UTC,Routine safety inspection,OPEN
1261576855,392195143,1727635875,2024-07-13 00:00:00 UTC,ROUTINE,2,MEDIUM,2024-08-12 00:00:00 UTC,Routine safety inspection,OPEN
1734178649,1168237128,1189597451,2024-07-13 00:00:00 UTC,ROUTINE,0,NONE,2024-08-12 00:00:00 UTC,Routine safety inspection,OPEN
1878530550,1168237128,990656208,2024-07-15 00:00:00 UTC,ROUTINE,1,LOW,2024-08-14 00:00:00 UTC,Routine safety inspection,OPEN
1600904001,919632549,209475583,2024-07-15 00:00:00 UTC,ROUTINE,0,NONE,2024-08-14 00:00:00 UTC,Routine safety inspection,OPEN
